,Country,Barley and products,Bovine Meat,Eggs,"Fish, Seafood",Maize and products,Milk - Excluding Butter,Mutton & Goat Meat,Pigmeat,Poultry Meat,"Pulses, Other and products",Rice (Milled Equivalent),Rye and products,Starchy Roots,Wheat and products,Code,Continent,Crop as Prop total,Pasture as prop total area
12,Barbados,0.0,0.0,2.6666666666666665,2.0,0.0,5.666666666666667,0.0,2.6666666666666665,14.333333333333334,1.0,0.0,0.0,1.6666666666666667,0.0,BRB,North America,0.0,0.0
13,Belarus,1856.3333333333333,302.3333333333333,211.66666666666666,15.666666666666666,1095.6666666666667,6633.0,1.0,443.6666666666667,345.6666666666667,94.33333333333333,0.0,843.6666666666666,6656.666666666667,2262.3333333333335,BLR,Eurpoe,0.29855292226788294,0.14326473640935886
14,Belgium,361.6666666666667,261.3333333333333,166.0,24.666666666666668,796.3333333333334,3224.6666666666665,2.0,1116.3333333333333,401.0,2.0,0.0,2.6666666666666665,3495.6666666666665,1775.6666666666667,BEL,Eurpoe,0.2774870363530177,0.1616591387728811
15,Belize,0.0,2.0,2.0,198.0,66.0,4.666666666666667,0.0,1.0,15.0,0.0,11.666666666666666,0.0,2.0,0.0,BLZ,North America,0.045939790681278625,0.021263870451035744
16,Benin,0.0,30.666666666666668,12.0,41.0,1229.0,41.666666666666664,8.666666666666666,5.0,20.0,41.333333333333336,143.33333333333334,0.0,6493.0,0.0,BEN,Africa,0.2570559598566469,0.0519914250408923
17,Bermuda,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BMU,North America,0.0,0.0
18,Bolivia (Plurinational State of),49.666666666666664,211.0,70.33333333333333,8.0,958.6666666666666,554.3333333333334,18.333333333333332,89.0,369.3333333333333,13.333333333333334,299.0,0.0,1339.3333333333333,179.0,BOL,South America,0.028618360733334486,0.2958954239154026
19,Bosnia and Herzegovina,67.33333333333333,20.333333333333332,19.666666666666668,4.0,700.6666666666666,700.6666666666666,1.6666666666666667,15.333333333333334,47.0,6.0,0.0,11.0,361.3333333333333,233.33333333333334,BIH,Eurpoe,0.22191943644643625,0.21289512655306775
20,Botswana,0.0,44.333333333333336,5.0,0.0,15.666666666666666,119.66666666666667,7.333333333333333,0.6666666666666666,5.0,3.6666666666666665,0.0,0.0,98.66666666666667,0.0,BWA,Africa,0.014483236131203515,0.42542097638194865
21,Brazil,295.6666666666667,9337.333333333334,2244.6666666666665,1510.0,69090.33333333333,32451.0,114.66666666666667,3279.0,12295.666666666666,9.0,8178.666666666667,5.333333333333333,27692.666666666668,5275.333333333333,BRA,South America,0.058805921197426655,0.20654903536221386
22,Brunei Darussalam,0.0,1.0,7.0,4.333333333333333,0.0,0.0,0.0,0.0,23.666666666666668,0.0,1.0,0.0,4.0,0.0,BRN,Asia,0.018418205428601734,0.0033753648942334486
