,AVG GDP 2011-2013 Constant 2010,Country Name,Country Code,stunting(percentage),overweight(percentage),Urban_Rural_ratio,Code
93,46800000000000.0,High income,HIC,,,,
94,245000000000.0,"Hong Kong SAR, China",HKG,,,,HKG
95,16940800599.0,Honduras,HND,22.6,5.2,0.9753831862517418,HND
96,524000000000.0,Heavily indebted poor countries (HIPC),HPC,,,,
97,58651694677.0,Croatia,HRV,,,1.3925389755011135,HRV
98,7224242930.0,Haiti,HTI,21.9,3.4,1.1845010615711251,HTI
99,133000000000.0,Hungary,HUN,,,2.3999311057526698,HUN
100,22300000000000.0,IBRD only,IBD,,,,
101,23900000000000.0,IDA & IBRD total,IBT,,,,
102,1610000000000.0,IDA total,IDA,,,,
103,784000000000.0,IDA blend,IDB,,,,
104,850000000000.0,Indonesia,IDN,36.4,11.5,1.0437435333147205,IDN
105,821000000000.0,IDA only,IDX,,,,
106,6260881546.0,Isle of Man,IMN,,,,
107,1870000000000.0,India,IND,37.9,2.4,0.44864461890479934,IND
108,,Not classified,INX,,,,
109,232000000000.0,Ireland,IRL,,,1.5660998354360944,IRL
110,475000000000.0,"Iran, Islamic Rep.",IRN,6.8,6.9,2.538717889377459,IRN
111,167000000000.0,Iraq,IRQ,22.1,11.4,2.244283876076413,IRQ
112,14256249786.0,Iceland,ISL,,,15.522842639593911,ISL
113,252000000000.0,Israel,ISR,,,10.47391952309985,ISR
114,2090000000000.0,Italy,ITA,,,2.3202156633872493,ITA
115,13395456528.0,Jamaica,JAM,6.0,8.3,1.11698956780924,JAM
116,27983378478.0,Jordan,JOR,7.8,4.7,2.67156637574644,JOR
117,5790000000000.0,Japan,JPN,7.1,1.5,10.186933797909408,JPN
118,167000000000.0,Kazakhstan,KAZ,8.0,9.3,1.0577648060318618,KAZ
119,44604242955.0,Kenya,KEN,26.2,4.1,0.3176452830188679,KEN
120,5257351060.0,Kyrgyz Republic,KGZ,12.9,7.0,0.5300875273522976,KGZ
121,12940692506.0,Cambodia,KHM,32.4,2.2,0.2539884589273591,KHM
122,165927597.8,Kiribati,KIR,34.4,15.9,0.7108008345369924,KIR
123,791178957.9,St. Kitts and Nevis,KNA,,,0.4801576132845482,KNA
124,1160000000000.0,"Korea, Rep.",KOR,2.5,7.3,4.1491598804246985,KOR
125,133000000000.0,Kuwait,KWT,4.9,6.0,15.8955223880597,KWT
126,5260000000000.0,Latin America & Caribbean (excluding high income),LAC,,,,
127,8335383864.0,Lao PDR,LAO,44.2,2.0,0.5781057810578106,LAO
128,39823021338.0,Lebanon,LBN,16.5,16.7,4.7631887456037525,LBN
129,2344797560.0,Liberia,LBR,32.1,3.2,0.9469273743016758,LBR
130,48767867921.0,Libya,LBY,,,,
131,1444410834.0,St. Lucia,LCA,2.5,6.3,0.235997171145686,LCA
132,5740000000000.0,Latin America & Caribbean,LCN,,,,
133,735000000000.0,Least developed countries: UN classification,LDC,,,,
134,398000000000.0,Low income,LIC,,,,
135,5082366478.0,Liechtenstein,LIE,,,,
136,66001970364.0,Sri Lanka,LKA,17.3,2.0,0.23302143072743736,LKA
137,4940000000000.0,Lower middle income,LMC,,,,
138,23100000000000.0,Low & middle income,LMY,,,,
139,2641994289.0,Lesotho,LSO,33.4,7.5,0.33834827144686297,LSO
140,15200000000000.0,Late-demographic dividend,LTE,,,,
141,40844673312.0,Lithuania,LTU,,,1.977450980392157,LTU
142,55097744697.0,Luxembourg,LUX,,,7.190769230769232,LUX
143,26166081390.0,Latvia,LVA,,,2.065281899109792,LVA
144,37721513855.0,"Macao SAR, China",MAC,,,,MAC
145,,St. Martin (French part),MAF,,,,
146,102000000000.0,Morocco,MAR,14.9,10.8,1.3400491400491399,MAR
147,5964679912.0,Monaco,MCO,,,,
148,7572947465.0,Moldova,MDA,6.4,4.9,,MDA
149,9104262103.0,Madagascar,MDG,48.9,1.1,0.4951826575672421,MDG
150,2926969186.0,Maldives,MDV,18.6,6.1,0.5893004115226337,MDV
151,2970000000000.0,Middle East & North Africa,MEA,,,,
152,1130000000000.0,Mexico,MEX,10.0,5.3,3.6338638542665382,MEX
153,172455075.1,Marshall Islands,MHL,,,,
154,22700000000000.0,Middle income,MIC,,,,
155,9691453087.0,North Macedonia,MKD,4.9,12.4,,MKD
156,11047257198.0,Mali,MLI,30.4,1.9,0.5354436450839328,MLI
157,9154017317.0,Malta,MLT,,,28.02068965517241,MLT
158,56445041593.0,Myanmar,MMR,29.4,1.5,0.5065299609975179,MMR
159,1400000000000.0,Middle East & North Africa (excluding high income),MNA,,,,
160,4244406826.0,Montenegro,MNE,9.4,22.3,1.6965131295738267,MNE
161,9492961412.0,Mongolia,MNG,7.3,11.7,2.230769230769231,MNG
162,746129859.4,Northern Mariana Islands,MNP,,,,
163,11676511902.0,Mozambique,MOZ,42.9,7.8,0.4458584379751112,MOZ
164,4814862594.0,Mauritania,MRT,27.9,1.3,1.3525798525798525,MRT
165,10774942504.0,Mauritius,MUS,13.6,6.5,0.6593828631969275,MUS
166,7518100010.0,Malawi,MWI,37.4,4.6,0.18499705535924615,MWI
167,283000000000.0,Malaysia,MYS,20.7,6.0,2.663192264222027,MYS
168,17300000000000.0,North America,NAC,,,,
169,12489840239.0,Namibia,NAM,22.7,4.0,0.7725920125293657,NAM
170,,New Caledonia,NCL,,,,NCL
171,6426196210.0,Niger,NER,40.6,1.1,0.21070599481086985,NER
172,402000000000.0,Nigeria,NGA,43.6,1.5,0.8399045388058552,NGA
173,9878021630.0,Nicaragua,NIC,17.3,8.3,1.4375777685607631,NIC
174,853000000000.0,Netherlands,NLD,,,7.457934508816121,NLD
175,443000000000.0,Norway,NOR,,,3.847195357833656,NOR
176,17316442682.0,Nepal,NPL,36.0,1.2,0.21075447738319394,NPL
177,65588136.92,Nauru,NRU,,,,
178,154000000000.0,New Zealand,NZL,,,6.160256410256411,NZL
179,46100000000000.0,OECD members,OED,,,,
180,62524490680.0,Oman,OMN,14.1,4.4,2.686170212765957,OMN
181,362000000000.0,Other small states,OSS,,,,
182,189000000000.0,Pakistan,PAK,37.6,2.5,0.6048783568020062,PAK
183,35735367312.0,Panama,PAN,19.0,9.7,1.9592156862745096,PAN
184,167000000000.0,Peru,PER,12.9,8.0,3.38102847181871,PER
185,221000000000.0,Philippines,PHL,33.4,3.9,0.8094820017559262,PHL
186,195934488.3,Palau,PLW,,,,
187,15047534870.0,Papua New Guinea,PNG,,,,
188,511000000000.0,Poland,POL,,,1.532852987837123,POL
189,1120000000000.0,Pre-demographic dividend,PRE,,,,
190,97947435933.0,Puerto Rico,PRI,,,,
191,,"Korea, Dem. People’s Rep.",PRK,19.1,2.3,,PRK
192,227000000000.0,Portugal,PRT,,,1.6238532110091743,PRT
193,29062340917.0,Paraguay,PRY,5.6,12.4,1.6175625769388593,PRY
194,10518019951.0,West Bank and Gaza,PSE,,,,
195,6820344621.0,Pacific island small states,PSS,,,,
196,43700000000000.0,Post-demographic dividend,PST,,,,
197,,French Polynesia,PYF,,,,PYF
198,148000000000.0,Qatar,QAT,,,,
199,174000000000.0,Romania,ROU,12.8,8.3,1.4001665873393625,ROU
200,1640000000000.0,Russian Federation,RUS,,,2.7961144490616983,RUS
201,6706415570.0,Rwanda,RWA,36.9,5.6,0.3793147532600358,RWA
202,2290000000000.0,South Asia,SAS,,,,
203,607000000000.0,Saudi Arabia,SAU,9.3,6.1,4.061956143404108,SAU
204,65513804316.0,Sudan,SDN,38.2,3.0,0.5250646213822621,SDN
205,17175488070.0,Senegal,SEN,16.5,0.9,0.7497446373850868,SEN
206,267000000000.0,Singapore,SGP,,,,
207,802558674.8,Solomon Islands,SLB,31.6,4.5,0.26403850561540226,SLB
208,3236228656.0,Sierra Leone,SLE,37.8,8.8,0.5235307363206485,SLE
209,19657843067.0,El Salvador,SLV,13.6,6.4,1.948341232227488,SLV
210,1821554222.0,San Marino,SMR,,,,
211,,Somalia,SOM,,,,
212,42885782475.0,Serbia,SRB,6.0,13.9,1.4379422972237343,SRB
213,1490000000000.0,Sub-Saharan Africa (excluding high income),SSA,,,,
214,10744006246.0,South Sudan,SSD,,,,
215,1490000000000.0,Sub-Saharan Africa,SSF,,,,
216,433000000000.0,Small states,SST,,,,
217,213868690.3,Sao Tome and Principe,STP,17.2,2.4,1.862284820031299,STP
218,4753284575.0,Suriname,SUR,8.8,4.0,1.9317685589519649,SUR
219,93505615545.0,Slovak Republic,SVK,,,1.195784353465748,SVK
220,47287845409.0,Slovenia,SVN,,,1.001943634596696,SVN
221,503000000000.0,Sweden,SWE,,,5.709563994374121,SWE
222,4783000697.0,Eswatini,SWZ,25.5,9.0,0.2671337191593056,SWZ
223,,Sint Maarten (Dutch part),SXM,,,,
224,1076490481.0,Seychelles,SYC,,,,
225,,Syrian Arab Republic,SYR,,,,
226,686787810.0,Turks and Caicos Islands,TCA,,,,
227,11518845833.0,Chad,TCD,39.8,2.8,0.27688442211055275,TCD
228,9170000000000.0,East Asia & Pacific (IDA & IBRD countries),TEA,,,,
229,3980000000000.0,Europe & Central Asia (IDA & IBRD countries),TEC,,,,
230,3883372409.0,Togo,TGO,27.6,2.0,0.5943747094374711,TGO
231,364000000000.0,Thailand,THA,10.5,8.2,0.8502740884173781,THA
232,6522829333.0,Tajikistan,TJK,17.5,3.3,0.3627066643940685,TJK
233,28798150834.0,Turkmenistan,TKM,11.5,5.9,0.9282576866764276,TKM
234,5540000000000.0,Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,
235,4433433932.0,Timor-Leste,TLS,50.9,1.4,0.4222495390288875,TLS
236,1390000000000.0,Middle East & North Africa (IDA & IBRD countries),TMN,,,,
237,378044449.2,Tonga,TON,,,,
238,2290000000000.0,South Asia (IDA & IBRD),TSA,,,,
239,1490000000000.0,Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,
240,22432947406.0,Trinidad and Tobago,TTO,9.2,11.4,0.096078431372549,TTO
241,44788587676.0,Tunisia,TUN,10.1,14.2,1.9584239130434784,TUN
242,911000000000.0,Turkey,TUR,9.9,11.1,2.4821386878356293,TUR
