Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","7","Angola","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","77","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2949","Eggs","2011","2011","1000 tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","184","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2949","Eggs","2011","2011","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","14683","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","1166","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","4086","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","23800","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","43","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","2701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","79","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","2499","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","76","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","301","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","1825","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2949","Eggs","2011","2011","1000 tonnes","591","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","11206","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","224","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","178","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","19","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","557","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","48","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","8","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","9","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","6","S","Standardized data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2949","Eggs","2011","2011","1000 tonnes","35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","602","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","1","Armenia","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","27410","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","482","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","7995","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","357","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","40","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","1169","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","2053","S","Standardized data"
"FBS","Food Balance Sheets","10","Australia","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","2128","S","Standardized data"
