Country Name,Country Code,Gini Avg 2011 to 2013,"Gini Flag(Selecing whichever is the closest, if two values with equal distance to 2012. Average)",ari_employment value (AVG 2011-2013),agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
Estonia,EST,33.5,,4.389000098,3.195531514,,21715132002,,10.32666652
Ethiopia,ETH,33.2,Closest Entry,72.04733276,42.27347071,,36473972973,,2.245666663
European Union,EUU,NaN,,4.938447017,1.523015014,,1.73E+13,,10.27982847
Fragile and conflict affected situations,FCS,NaN,,53.81148285,16.49262574,,6.74E+11,,6.008098995
Finland,FIN,27.3,,4.174333254,2.429516026,,2.51E+11,,7.887666702
Fiji,FJI,36.7,Closest Entry,42.33866628,9.668862948,,3307430255,,4.425999959
France,FRA,32.96666667,,2.967666626,1.580238136,,2.71E+12,,9.377333005
Faroe Islands,FRO,NaN,,NaN,14.04283349,,2320424601,Closest Entry,NaN
"Micronesia, Fed. Sts.",FSM,40.1,,NaN,26.90815404,,298522621.1,,NaN
Gabon,GAB,38,Closest Entry,39.48833339,3.371689403,,16219355019,,20.2246666
United Kingdom,GBR,32.9,,1.155333321,0.622960808,,2.53E+12,,7.815666675
Georgia,GEO,39.06666667,,50.52433395,7.728152802,,13157156483,,17.16666666
Ghana,GHA,42.4,,46.88933436,22.08245186,,39945238709,,6.114666621
Gibraltar,GIB,NaN,,NaN,NaN,,#DIV/0!,,NaN
Guinea,GIN,33.7,Closest Entry,68.46299998,16.81556498,,7624157559,,4.177000046
"Gambia, The",GMB,43.6,Closest Entry,30.5176665,21.5193144,,960286982.8,,9.592000008
Guinea-Bissau,GNB,50.7,Closest Entry,69.18133291,45.35018919,,917005001.2,,4.454666773
Equatorial Guinea,GNQ,NaN,,43.05666733,1.100383387,,18064940923,,8.393333435
Greece,GRC,35.7,,13.01533318,3.131911864,,2.56E+11,,23.25666618
Grenada,GRD,NaN,,NaN,4.705135407,,776947507.7,,NaN
Greenland,GRL,NaN,,NaN,15.26642549,,2502948620,,NaN
Guatemala,GTM,48.3,Closest Entry,33.56833394,10.75382038,,44458055990,,3.302333355
Guam,GUM,NaN,,0.308999995,NaN,,4997626853,,12.33333333
Guyana,GUY,NaN,,19.77033361,18.95480642,,2517428640,,11.98633321
High income,HIC,NaN,,3.322484461,1.395721647,,4.68E+13,,7.886116535
"Hong Kong SAR, China",HKG,NaN,,0.218999997,0.053591651,,2.45E+11,,3.370000044
Honduras,HND,54.96666667,,35.60833359,13.32569259,,16940800599,,4.10833335
Heavily indebted poor countries (HIPC),HPC,NaN,,62.22684881,24.74445835,,5.24E+11,,4.379240173
Croatia,HRV,32.26666667,,12.5423336,3.447646091,,58651694677,,15.62133344
Haiti,HTI,41.1,,50.20666631,19.18207027,AVG of two,7224242930,,14.39066664
Hungary,HUN,30.5,,4.909000079,3.86767906,,1.33E+11,,10.73600006
IBRD only,IBD,NaN,,32.56322317,7.959818164,,2.23E+13,,5.009770284
